DATE TIME; v1_pre; v2_pre; v3_pre; ORIENT; SP
2019-07-05 01:09:00; 14511.967; 2713.456; 50389.777; XYZ; 0000
2019-07-05 01:10:00; 14511.12; 2714.216; 50389.96; XYZ; 0000
2019-07-05 01:11:00; 14511.318; 2714.166; 50389.93; XYZ; 0000
2019-07-05 01:12:00; 14512.788; 2711.889; 50389.83; XYZ; 0000
2019-07-05 01:13:00; 14514.27; 2709.352; 50389.812; XYZ; 0000
2019-07-05 01:14:00; 14514.58; 2707.124; 50390.027; XYZ; 0000
2019-07-05 01:15:00; 14513.167; 2706.432; 50390.113; XYZ; 0000
2019-07-05 01:16:00; 14511.218; 2706.948; 50390.598; XYZ; 0000
2019-07-05 01:17:00; 14509.523; 2708.62; 50391.152; XYZ; 0000
2019-07-05 01:18:00; 14508.964; 2710.877; 50391.066; XYZ; 0000
2019-07-05 01:19:00; 14509.621; 2711.334; 50390.8; XYZ; 0000
2019-07-05 01:20:00; 14509.297; 2711.542; 50390.695; XYZ; 0000
2019-07-05 01:21:00; 14509.019; 2713.164; 50390.367; XYZ; 0000
2019-07-05 01:22:00; 14509.798; 2715.748; 50390.5; XYZ; 0000
2019-07-05 01:23:00; 14511.534; 2716.01; 50390.348; XYZ; 0000
2019-07-05 01:24:00; 14512.991; 2714.062; 50390.52; XYZ; 0000
2019-07-05 01:25:00; 14512.948; 2712.134; 50390.64; XYZ; 0000
2019-07-05 01:26:00; 14512.143; 2711.597; 50391.21; XYZ; 0000
2019-07-05 01:27:00; 14511.113; 2711.753; 50391.285; XYZ; 0000
2019-07-05 01:28:00; 14510.6; 2712.148; 50391.246; XYZ; 0000
2019-07-05 01:29:00; 14510.306; 2714.422; 50391.457; XYZ; 0000
2019-07-05 01:30:00; 14510.955; 2715.075; 50391.47; XYZ; 0000
2019-07-05 01:31:00; 14511.376; 2715.297; 50391.574; XYZ; 0000
2019-07-05 01:32:00; 14511.984; 2713.245; 50391.74; XYZ; 0000
2019-07-05 01:33:00; 14510.265; 2713.813; 50392.188; XYZ; 0000
2019-07-05 01:34:00; 14509.578; 2714.104; 50392.164; XYZ; 0000
2019-07-05 01:35:00; 14510.04; 2715.451; 50391.934; XYZ; 0000
2019-07-05 01:36:00; 14509.607; 2716.126; 50391.77; XYZ; 0000
2019-07-05 01:37:00; 14510.051; 2715.942; 50390.96; XYZ; 0000
2019-07-05 01:38:00; 14510.282; 2716.726; 50390.734; XYZ; 0000
2019-07-05 01:39:00; 14511.489; 2716.089; 50391.035; XYZ; 0000
2019-07-05 01:40:00; 14511.065; 2714.985; 50391.508; XYZ; 0000
2019-07-05 01:41:00; 14510.81; 2714.268; 50391.824; XYZ; 0000
2019-07-05 01:42:00; 14510.803; 2714.773; 50391.51; XYZ; 0000
2019-07-05 01:43:00; 14511.948; 2713.776; 50391.25; XYZ; 0000
2019-07-05 01:44:00; 14512.383; 2713.052; 50391.14; XYZ; 0000
2019-07-05 01:45:00; 14511.824; 2710.956; 50391.652; XYZ; 0000
2019-07-05 01:46:00; 14510.87; 2710.974; 50391.836; XYZ; 0000
2019-07-05 01:47:00; 14510.346; 2710.099; 50392.0; XYZ; 0000
2019-07-05 01:48:00; 14509.363; 2711.084; 50392.14; XYZ; 0000
2019-07-05 01:49:00; 14508.806; 2713.11; 50392.54; XYZ; 0000
2019-07-05 01:50:00; 14508.902; 2715.202; 50392.484; XYZ; 0000
2019-07-05 01:51:00; 14508.168; 2717.419; 50391.59; XYZ; 0000
2019-07-05 01:52:00; 14508.637; 2718.26; 50391.465; XYZ; 0000
2019-07-05 01:53:00; 14509.279; 2719.181; 50391.207; XYZ; 0000
2019-07-05 01:54:00; 14509.52; 2719.671; 50391.164; XYZ; 0000
2019-07-05 01:55:00; 14510.032; 2718.477; 50391.273; XYZ; 0000
2019-07-05 01:56:00; 14510.414; 2718.93; 50391.293; XYZ; 0000
2019-07-05 01:57:00; 14510.728; 2716.677; 50391.305; XYZ; 0000
2019-07-05 01:58:00; 14510.327; 2715.566; 50391.527; XYZ; 0000
2019-07-05 01:59:00; 14509.021; 2714.623; 50391.492; XYZ; 0000
2019-07-05 02:00:00; 14508.085; 2713.907; 50391.363; XYZ; 0000
2019-07-05 02:01:00; 14506.603; 2714.157; 50391.496; XYZ; 0000
2019-07-05 02:02:00; 14505.907; 2712.938; 50391.246; XYZ; 0000
2019-07-05 02:03:00; 14504.796; 2713.206; 50391.21; XYZ; 0000
2019-07-05 02:04:00; 14504.299; 2712.822; 50391.316; XYZ; 0000
2019-07-05 02:05:00; 14504.132; 2711.533; 50391.344; XYZ; 0000
2019-07-05 02:06:00; 14503.759; 2710.518; 50391.332; XYZ; 0000
2019-07-05 02:07:00; 14503.175; 2709.11; 50391.312; XYZ; 0000
2019-07-05 02:08:00; 14502.046; 2708.194; 50391.285; XYZ; 0000
2019-07-05 02:09:00; 14499.825; 2708.261; 50391.402; XYZ; 0000
